id,num_items,capacidad,num_variables_qubo,optimo,valor_total,peso,factible,coincide,ratio_optimo,brecha_optimo,exceso_peso,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,valor_medio_start,std_valor_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,metodo,warmstart,epsilon_warmstart
4,3,3,5,5,5,3,True,True,1.0,0,0,N/A,N/A,0.016218300006585196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.7,1.0,1.0,0.866,5,0.0,0.0014200200035702436,100,10,10,100,sa,N/A,N/A
5,3,5,6,22,22,5,True,True,1.0,0,0,N/A,N/A,0.018123700021533296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,1.0,0.99,0.7079889807162535,22,0.0,0.0015892099996563046,100,10,10,100,sa,N/A,N/A
6,3,5,6,13,13,5,True,True,1.0,0,0,N/A,N/A,0.018491099996026605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.28,1.0,0.97,0.6161776367961935,13,0.0,0.00162146000075154,100,10,10,100,sa,N/A,N/A
7,3,4,6,8,8,3,True,True,1.0,0,0,N/A,N/A,0.018871600012062117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,1.0,0.96,0.62109375,8,0.0,0.0016598799964413046,100,10,10,100,sa,N/A,N/A
10,3,5,6,9,9,5,True,True,1.0,0,0,N/A,N/A,0.018641300004674122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,1.0,0.97,0.6414662084765177,9,0.0,0.001638060002005659,100,10,10,100,sa,N/A,N/A
11,4,4,7,6,6,4,True,True,1.0,0,0,N/A,N/A,0.02067420000093989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35,1.0,1.0,0.7283333333333334,6,0.0,0.0018132599972886965,100,10,10,100,sa,N/A,N/A
12,3,7,6,12,12,7,True,True,1.0,0,0,N/A,N/A,0.018084099981933832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.24,0.9,0.96,0.6536458333333334,11.8,0.6,0.0015866900008404627,100,10,10,100,sa,N/A,N/A
13,4,5,7,7,7,5,True,True,1.0,0,0,N/A,N/A,0.020130099990637973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.36,1.0,1.0,0.7228571428571429,7,0.0,0.0017625599983148276,100,10,10,100,sa,N/A,N/A
14,2,3,4,6,6,3,True,True,1.0,0,0,N/A,N/A,0.013791799981845543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.47,1.0,0.74,0.6351351351351351,6,0.0,0.0012108899973100051,100,10,10,100,sa,N/A,N/A
15,3,5,6,10,10,5,True,True,1.0,0,0,N/A,N/A,0.018195899989223108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.28,1.0,0.98,0.6530612244897959,10,0.0,0.0015952900110278278,100,10,10,100,sa,N/A,N/A
17,3,3,5,6,6,3,True,True,1.0,0,0,N/A,N/A,0.015872900024987757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.69,1.0,0.99,0.8215488215488216,6,0.0,0.0013972399989143013,100,10,10,100,sa,N/A,N/A
19,3,5,6,8,8,5,True,True,1.0,0,0,N/A,N/A,0.018413000012515113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.41,1.0,1.0,0.59375,8,0.0,0.001626489998307079,100,10,10,100,sa,N/A,N/A
20,4,6,7,11,11,6,True,True,1.0,0,0,N/A,N/A,0.019860400003381073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.36,1.0,0.99,0.721763085399449,11,0.0,0.001739850000012666,100,10,10,100,sa,N/A,N/A
