id,num_filas,num_columnas,tamano_matriz,num_variables_qubo,optimo,coste_total,violacion,factible,coincide,ratio_optimo,brecha_optimo,desviacion_relativa_optimo,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,coste_medio_start,std_coste_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,penalizacion,metodo,warmstart,epsilon_warmstart
403,4,4,4x4,7,20,20,0,True,True,1.0,0,0.0,0.7,0.95,1970.64776610001,1970.6452207999537,1959.716516800283,10.928703999670688,0.9999987083942145,0.994454250879702,0.0055457491202979,0.629694404559955,0.7851172349402269,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
404,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,0.8,0.9761904761904764,4428.323246499989,4428.32059580012,4414.549384499842,13.771211300278082,0.9999994014213232,0.9968901955036096,0.0031098044963905,1.4148759031199851,1.764270840398457,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
201,2,2,2x2,5,9,9,0,True,True,1.0,0,0.0,1.0,1.0,495.4777771999943,495.4755571002024,486.31022590072826,9.165331199474169,0.9999955192747404,0.9815019508669311,0.0184980491330687,0.1583654675599886,0.1974003952988877,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
202,2,2,2x2,5,11,11,0,True,True,1.0,0,0.0,1.0,1.0,442.4991238999646,442.4969103999319,433.5614371004631,8.935473299468867,0.9999949977301352,0.9798066990086034,0.0201933009913965,0.1412659973199945,0.1762933688446048,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
203,2,2,2x2,5,8,8,0,True,True,1.0,0,0.0,0.9,0.9375,457.75528490002034,457.7530606999644,448.7957718995167,8.957288800447714,0.9999951410718144,0.9804320504449476,0.0195679495550523,0.1454236564800376,0.1823714392031524,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
204,2,2,2x2,5,6,6,0,True,True,1.0,0,0.0,1.0,1.0,518.5867098000017,518.584486000007,509.6986440999899,8.885841900017112,0.9999957118068152,0.982865199133595,0.017134800866405,0.1647087672400753,0.2066070788047848,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
301,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,0.7,0.9666666666666668,1039.0253155999817,1039.0229195999564,1029.257743000344,9.76517659961246,0.9999976939926396,0.9906015772940098,0.0093984227059902,0.3338699153200257,0.4139530175697128,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
302,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,0.9,0.9888888888888888,984.0380991999992,984.035741699976,974.008909000724,10.026832699251829,0.9999976042594032,0.9898104994825392,0.0101895005174608,0.315302215200034,0.3920457816732847,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
303,3,3,3x3,6,11,11,0,True,True,1.0,0,0.0,0.7,0.9727272727272728,1046.4265931000118,1046.4241536000045,1036.4946229992784,9.92953060072614,0.999997668732787,0.9905109887166064,0.0094890112833936,0.3340121875599958,0.4169017183266958,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
304,3,3,3x3,6,7,7,0,True,True,1.0,0,0.0,0.9,0.9857142857142858,925.8169661000138,925.8145675000268,915.9217889005668,9.892778599460144,0.9999974092071384,0.98931451400017,0.0106854859998299,0.2955656598399626,0.3688502110757,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
401,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,0.7,0.9095238095238096,5851.588026200014,5851.585157099937,5837.208965400816,14.376191699120682,0.999999509688641,0.9975431970460726,0.0024568029539273,1.867026211120002,2.3313084623904157,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
402,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,0.5,0.9428571428571428,5899.081757500011,5899.078871500038,5884.65113499877,14.427736501267646,0.9999995107713214,0.9975542390912976,0.0024457609087024,1.8826274816399673,2.3502303181673434,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
403,4,4,4x4,7,20,20,0,True,True,1.0,0,0.0,0.9,0.98,2273.48853219999,2273.4859251999296,2261.892182601616,11.593742598313838,0.999998853304064,0.9949004555208344,0.0050995444791655,0.7266548926799791,0.9057709358167136,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
404,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,0.6,0.9333333333333332,5682.556783700013,5682.5539591001,5668.1591805997305,14.394778500369284,0.9999995029350308,0.997466847019144,0.0025331529808559,1.8089166892000008,2.2639653623506217,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa,N/A,N/A
201,2,2,2x2,5,9,9,0,True,True,1.0,0,0.0,N/A,N/A,0.0190591000136919,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,1.0,1.0,0.5277777777777778,9.0,0.0,0.0016120399814099,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
202,2,2,2x2,5,11,11,0,True,True,1.0,0,0.0,N/A,N/A,0.0165497999987564,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.47,1.0,1.0,0.6536363636363637,11.0,0.0,0.0013727199984714,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
